100
20	6	77	64	11	74	90	98	17	22	56	999	43	7	80	45	70	13	97	50	999	63	87	58	84	50	63	35	34	83	73	37	24	72	81	60	33	93	53	27	72	40	56	83	12	50	92	64	66	16	91	16	87	62	46	25	98	81	9	61	4	27	48	52	73	92	74	91	93	23	56	13	98	73	62	100	13	38	95	9	14	12	47	93	63	12	25	82	15	12	47	60	74	90	57	88	31	81	84	91
46	27	47	24	14	59	23	68	25	83	98	7	6	100	33	53	78	81	98	89	100	96	92	23	25	92	82	29	49	23	94	44	5	54	33	79	4	1	24	32	75	17	89	44	61	56	92	46	79	66	6	38	19	84	21	94	72	22	38	18	28	23	8	69	99	72	54	35	99	57	45	93	63	31	25	95	37	23	6	53	57	92	100	60	11	19	88	92	49	8	56	6	3	17	63	91	24	8	17	92
80	28	45	50	71	66	61	36	24	25	80	79	55	30	99	27	30	19	1	97	5	44	2	71	93	45	10	24	16	60	47	33	98	91	91	97	65	60	63	76	86	48	72	26	50	90	30	42	37	92	35	94	2	2	77	33	24	40	39	37	67	83	46	65	99	5	27	24	50	84	58	63	61	29	83	88	66	24	61	64	9	36	52	10	35	16	38	11	39	25	44	45	26	65	52	83	84	32	37	93
40	59	13	6	30	51	4	50	11	93	38	24	83	59	80	15	81	82	21	69	4	82	98	98	20	88	67	88	37	43	70	7	74	8	92	88	78	49	53	87	84	31	90	4	61	35	22	100	52	29	48	65	88	42	13	59	49	96	87	98	9	62	30	36	9	33	59	72	35	26	26	7	32	55	5	38	12	74	11	22	54	32	69	28	51	47	86	78	30	52	57	20	18	26	56	30	2	79	24	52
43	5	54	79	45	78	41	65	52	54	1	54	57	74	92	21	97	50	18	30	49	83	69	98	99	93	72	71	5	2	57	85	44	25	72	85	70	98	99	36	22	8	96	86	19	37	53	73	84	3	82	47	94	35	3	29	90	100	71	14	90	75	12	1	42	56	53	79	78	14	85	97	70	22	29	49	69	26	48	62	56	73	51	64	93	35	15	91	98	90	71	33	37	74	67	35	33	72	16	21
16	50	47	27	58	13	90	76	55	68	28	42	52	84	72	77	33	28	23	97	61	65	2	37	92	1	9	29	38	28	33	36	20	48	77	89	28	48	86	73	26	80	19	79	66	3	30	53	67	42	16	23	54	26	54	9	13	99	30	45	83	69	20	40	83	56	85	48	5	69	52	68	17	50	63	21	96	57	42	17	32	82	29	48	64	75	70	33	20	98	96	6	5	73	83	47	44	58	83	19
94	83	100	46	10	73	13	11	53	9	4	52	81	70	44	29	3	81	81	39	90	49	19	83	31	68	43	73	38	9	95	84	74	6	44	66	94	96	91	10	48	47	63	72	25	85	59	12	30	65	43	38	62	24	63	39	12	55	48	59	12	17	45	77	50	50	48	51	34	49	62	33	63	48	56	95	86	53	63	64	19	46	62	1	66	41	50	5	56	63	14	41	65	66	94	87	96	12	57	3
89	45	44	16	61	61	30	89	14	75	5	28	94	89	73	29	68	23	24	77	49	45	44	80	53	94	12	16	90	2	69	83	74	8	66	2	34	39	52	53	68	70	49	30	67	81	30	47	64	100	67	21	87	73	35	67	68	53	92	61	39	72	82	48	25	12	21	15	32	87	97	24	95	59	93	11	66	48	65	5	33	1	59	98	64	72	44	1	46	43	49	60	96	93	49	77	27	28	64	14
51	67	30	80	31	30	62	75	90	5	46	37	79	89	73	99	23	74	83	48	31	21	5	81	80	23	24	6	60	37	81	68	2	61	7	83	68	14	49	74	74	67	12	39	6	59	14	68	31	96	36	80	51	41	40	24	77	93	55	82	49	57	84	43	45	12	70	8	16	51	77	52	92	10	37	95	11	14	8	65	20	31	79	36	100	5	58	18	89	100	29	14	85	61	59	30	2	100	13	47
74	40	71	94	52	65	11	29	62	51	88	43	58	90	29	56	89	27	1	58	93	71	95	54	48	22	95	87	83	32	33	31	96	93	24	74	75	25	80	32	15	4	39	23	54	41	33	10	3	56	11	84	30	99	57	40	14	98	92	58	16	60	56	78	77	8	78	43	26	41	80	65	76	19	70	34	55	30	15	64	23	48	93	82	9	57	22	21	68	26	24	87	58	61	89	76	1	58	38	39
2	67	47	42	26	27	54	45	94	26	5	32	35	46	49	97	80	45	9	54	74	60	28	79	96	69	81	39	93	91	89	2	76	65	54	16	82	3	61	37	18	83	78	48	90	80	62	25	2	90	66	38	56	85	15	42	14	82	81	88	35	79	27	10	1	92	59	7	7	85	56	2	85	20	99	30	68	51	7	97	71	4	17	8	58	19	35	40	83	88	78	53	23	67	25	41	38	65	100	75
31	1	84	29	9	100	24	999	80	78	85	97	27	66	79	93	51	52	42	73	77	29	17	11	2	78	42	30	26	38	29	21	74	7	32	83	33	64	24	87	81	13	28	75	4	29	61	96	2	77	100	79	67	36	48	23	38	6	37	69	54	71	58	76	18	2	19	36	51	92	94	92	89	88	37	70	23	28	58	93	85	72	60	83	22	64	97	6	61	2	34	44	7	55	58	89	76	89	66	51
87	50	62	67	10	39	49	72	22	7	40	44	86	13	24	57	17	36	12	18	6	22	60	23	87	85	38	67	59	34	58	65	4	87	45	24	31	14	27	73	75	35	85	92	94	1	95	32	18	44	88	64	63	92	26	36	91	13	51	77	48	92	86	93	97	59	81	63	1	13	86	78	82	73	75	97	16	24	79	44	8	81	87	50	3	63	9	23	56	6	17	1	42	100	37	21	89	8	48	57
67	70	74	30	60	93	68	10	7	96	42	62	23	55	53	48	47	74	61	67	12	73	93	30	8	24	73	26	94	99	96	94	61	89	91	90	92	54	41	89	61	59	68	2	67	16	49	70	24	11	85	31	32	93	72	9	15	30	64	35	1	59	68	20	18	98	35	55	85	28	38	81	23	85	62	68	17	29	52	10	10	68	95	57	94	45	60	99	80	49	79	95	38	65	39	7	39	50	82	73
35	36	95	98	20	5	62	58	52	50	74	90	9	88	86	89	48	88	54	48	5	67	87	18	86	27	35	61	93	44	48	40	24	84	73	78	77	96	66	31	56	64	78	74	32	39	23	64	37	70	94	29	90	26	95	55	80	54	33	61	73	55	98	13	10	89	27	97	45	35	78	87	25	88	24	22	99	69	23	66	15	26	30	40	44	15	76	1	18	36	95	77	69	92	67	78	51	39	22	33
16	65	55	13	25	100	49	60	31	24	57	29	14	97	6	64	99	91	34	1	18	93	96	1	92	76	98	60	27	21	80	85	29	55	20	47	15	35	11	91	95	16	27	5	77	14	72	78	72	34	47	97	37	56	97	29	86	21	36	45	81	85	74	71	28	8	43	88	75	81	18	66	61	57	71	95	80	58	92	16	66	87	11	57	71	72	39	70	53	47	66	94	55	23	21	59	83	56	32	96
50	14	50	39	3	85	84	30	60	43	65	74	5	73	60	3	77	95	32	41	78	78	7	17	74	47	68	56	6	17	32	98	41	78	87	20	27	17	21	58	19	78	39	64	75	42	13	53	74	19	24	44	10	91	82	6	3	41	14	76	86	44	42	25	74	48	29	77	24	21	26	23	4	83	56	45	9	7	77	56	54	30	58	72	37	63	79	10	36	7	49	67	87	68	72	90	64	76	99	55
95	83	45	98	3	49	95	90	82	94	39	33	25	89	45	53	36	73	71	26	5	80	70	21	18	10	33	50	2	69	33	34	12	44	72	20	29	82	80	45	97	21	97	1	85	27	21	65	51	13	7	50	3	87	64	11	8	94	73	58	46	38	62	63	79	70	49	97	53	45	92	24	51	91	25	1	13	83	88	59	3	87	87	29	25	99	19	46	44	74	96	74	46	93	72	35	9	18	16	13
16	53	38	8	32	38	50	59	72	66	39	9	89	34	85	85	78	48	78	26	79	73	35	97	43	5	99	44	25	19	64	83	75	54	87	70	2	39	90	63	91	87	88	61	39	88	27	93	33	63	31	42	67	57	36	86	51	19	28	56	92	11	46	43	85	40	43	12	13	35	78	90	72	27	31	76	50	94	89	4	24	75	31	62	82	28	3	41	74	93	51	82	59	2	33	96	67	85	56	69
4	97	71	39	13	86	85	79	6	54	43	94	93	57	50	15	100	23	26	84	28	81	80	13	40	63	97	65	13	53	32	98	34	67	62	94	5	78	16	31	69	95	49	29	12	43	44	67	35	64	66	8	54	92	95	83	7	56	50	86	57	35	48	27	79	41	9	35	1	31	35	44	27	98	58	8	69	34	57	87	11	44	87	17	5	19	94	50	78	56	21	11	31	5	95	23	67	82	72	27
33	70	74	34	81	80	53	16	66	85	55	44	99	61	54	20	95	89	28	63	67	14	13	77	18	9	90	11	84	68	96	36	89	43	78	42	87	96	64	20	60	54	28	71	61	94	80	51	66	20	24	27	12	20	40	93	100	59	55	53	66	48	94	38	44	2	75	26	79	100	44	89	64	56	98	16	84	70	65	35	90	13	25	6	15	83	6	11	4	60	77	63	90	16	56	6	86	62	77	44
61	8	100	55	3	60	4	34	69	45	10	17	95	23	18	64	11	86	90	52	10	57	74	88	32	65	71	2	66	99	76	2	27	10	36	12	56	48	69	36	60	37	71	45	18	78	22	55	85	93	51	57	32	37	42	19	23	90	68	42	36	24	68	39	35	21	100	32	44	3	35	19	29	53	98	59	41	34	45	69	80	13	31	2	48	74	35	46	63	86	3	6	71	7	49	93	71	20	25	37
80	54	33	20	64	17	29	46	46	74	93	1	65	41	83	73	58	2	28	70	77	70	44	30	83	39	60	56	94	50	65	63	87	37	85	35	33	80	57	93	99	83	55	61	55	100	38	96	79	60	57	23	47	39	35	63	64	86	58	42	32	98	86	16	82	65	23	33	91	85	37	33	38	98	41	94	95	87	72	18	14	40	92	16	27	53	50	9	83	46	39	8	48	15	37	90	82	30	37	97
